kz,сипаттама,ru,описание,en,description
Экскреция,"организмнен, мүшеден, жасушадан тыс заттардың бөлінуі.",Экскреция,"выделение веществ за пределы организма, органа, клетки.",Excretion,"the release of substances outside the body, organ, cell."
Экссудат,қабыну кезінде ұсақ тамырлар мен капиллярлардан қоршаған тіндер мен дене қуыстарына шығатын қанның формалы элементтері бар ақуызға бай сұйықтық.,Экссудат,"богатая белком жидкость, содержащая форменные элементы крови, выходящая из мелких вен и капилляров в окружающие ткани и полости тела при воспалении.",Exudate,"a protein-rich liquid containing shaped elements of blood, coming out of small veins and capillaries into the surrounding tissues and body cavities during inflammation."
Электрофорез,"беттік зарядты тасымалдайтын аминқышқылдарының, ақуыздардың, липопротеидтердің, ферменттердің және т.б. әртүрлі тасымалдаушылардағы электр өрісіндегі бөлу әдісі.",Электрофорез,"метод разделения в электрическом поле на различных носителях аминокислот, белков, липопротеидов, ферментов и др., несущих, поверхностный заряд.",Electrophoresis,"the method of separation in an electric field on various carriers of amino acids, proteins, lipoproteins, enzymes, etc., carrying a surface charge."
Эндогендік интоксикация,"организмнің белгілі бір метаболизм өнімдерімен улануы (улануы), олардың шығарылуының жеткіліксіздігі немесе түзілуінің жоғарылауы кезінде пайда болады.",Эндрогенная интоксикация,"интоксикация (отравление) организма определенными продуктами метаболизма, возникающая при недостаточности их выведения или усиленном образовании.",Endogenous intoxication,"intoxication (poisoning) of the body with certain metabolic products, which occurs when their excretion is insufficient or their increased formation."
Эндоцервицит,жатыр мойны каналының шырышты қабығының қабынуы.,Эндоцервицит,воспаление слизистой оболочки канала шейки матки.,Endocervicitis,inflammation of the mucous membrane of the cervical canal.
Энтеросорбенттер,"негізінен белгілі бір құрылымдағы органикалық заттар, басқа органикалық және бейорганикалық заттарды бетіне адсорбциялауға қабілетті. Ішке қабылдаған кезде сорбция процесі ішекте жүреді.",Энтеросорбенты,"преимущественно органические вещества определенной структуры, способные адсорбировать на поверхности другие органические и неорганические вещества. При приеме внутрь процесс сорбции происходит в кишечнике.",Enterosorbents,"mainly organic substances of a certain structure, capable of adsorbing other organic and inorganic substances on the surface. When ingested, the sorption process occurs in the intestine."
Энцефалопатия,оның дистрофиялық өзгерістерімен сипатталатын ми ауруларының жалпы атауы.,Энцефалопатия,"общее название болезней головного мозга, характеризующихся его дистрофическими изменениями.",Encephalopathy,the general name of diseases of the brain characterized by its dystrophic changes.
Эозинопения,қандағы эозинофилдер санының төмендеуі.,Эозинипения,снижение количества эозинофилов в крови.,Eosinopenia,decrease in the number of eosinophils in the blood.
Эпителий,"дененің беткі қабаты (эпидермис), қуыс мүшелердің шырышты қабаттары. Қорғаныс, секреторлық және басқа функцияларды орындайды.",Эпителий,"выстилающая поверхность тела (эпидермис), слизистые оболочки полых органов. Выполняет защитную, секреторную и другие функции.",Epithelium,"lining the surface of the body (epidermis), mucous membranes of hollow organs. Performs protective, secretory and other functions."
Эострогены,әйел жыныстық гормондары.,Эострогены,женские половые гормоны.,Estrogens,female sex hormones.
Ятрогения,науқастың психикасына теріс әсер ететін дәрігердің тікелей мәлімдемелеріне немесе әрекеттеріне байланысты ауру.,Ятрогения,"заболевание, обусловленное непосредственными высказываниями или поступками врача, неблагоприятно воздействующими на психику больного.",Latrogeny,a disease caused by direct statements or actions of a doctor that adversely affect the patient's psyche.
Язва,терінің немесе шырышты қабықтың және астындағы тіндердің ақауы; әлсіз емдеу процестерінде некроздың салдарынан пайда болады.,Язва,дефект кожи или слизистой оболочки и подлежащих тканей; возникает вследствие некроза при слабо выраженных процессах заживления.,Ulcer,a defect of the skin or mucous membrane and underlying tissues; occurs due to necrosis with poorly expressed healing processes.
Ядро,"тірі жасушаны басқаратын орталық бөлік. Ол әдетте сфералық пішінді, мембранамен қоршалған және дене функцияларын, өсуін және көбеюін қамтамасыз ететін генетикалық кодтарды қамтиды.",Ядро,"центральная часть, управляющая живой клеткой. Имеет, как правило, сферическую форму, окружено мембраной и содержит генетические коды для обеспечения функций организма, роста и размножения.

",The core,"the central part that controls the living cell. It has, as a rule, a spherical shape, is surrounded by a membrane and contains genetic codes to ensure the functions of the body, growth and reproduction."
Кәмелетке толмаған,"балаларға, жасөспірімдерге қатысты; жыныстық жетілуге жетпеген.",Ювенильный,"относящийся к детскому, юношескому возрасту; не достигший половой зрелости.",Juvenile,"related to childhood, adolescence; has not reached puberty."
Этиология,аурудың себебі; аурудың себептері мен жағдайлары туралы ілім.,Этиология,причина возникновения заболевания; учение о причинах и условиях возникновения болезней.,Etiology,the cause of the disease; the doctrine of the causes and conditions of the occurrence of diseases.
Эритема,терінің қызаруы.,Эритема,покраснение кожи.,Erythema,redness of the skin.
Эритроциттер,"қызыл қан жасушалары, олардың негізгі қызметі дене тіндері мен жасушаларына оттегін тасымалдау болып табылады.",Эритроциты,"красные клетки крови, основная функция которых — нести кислород к тканям и клеткам тела.",Red blood cells,"red blood cells, whose main function is to carry oxygen to the tissues and cells of the body."
Эпидемия,жұқпалы аурудың таралуы осы аймақтағы аурудың әдеттегі деңгейінен едәуір асып түседі.,Эпидемия,"распространение инфекционной болезни, значительно превышающее обычный уровень заболеваемости в данной местности.",Epidemic,the spread of an infectious disease significantly exceeding the usual level of morbidity in the area.
Энцефалопатия,мидың зақымдануы немесе мидың жалпы дегенерациясы.,Энцефалопатия,поражение головного мозга или общая дегенерация мозгового вещества.,Encephalopathy,brain damage or general degeneration of the medulla.
Энцефалит,мидың өлімге әкелетін қабынуы.,Энцефалит,смертельно опасное воспаление головного мозга.,Encephalitis,deadly inflammation of the brain.
Энтерит,аш ішектің қабынуы.,Энтерит,воспаление тонкого кишечника.,Enteritis,inflammation of the small intestine.
Энзим,катализатор болып табылатын ақуыз: өзгеріссіз дене сұйықтықтары мен тіндерінде химиялық өзгерістер тудыруы мүмкін.,Энзим,"белок, являющийся катализатором: может вызывать химические изменения в жидкостях и тканях организма, при этом не изменяясь.",Enzyme,"protein, which is a catalyst: it can cause chemical changes in body fluids and tissues, while not changing."
Эндотоксин,бактерия жасушасының ішінде орналасқан токсин (у).,Эндотоксин,"токсин (яд), находящийся внутри бактериальной клетки.",Endotoxin,a toxin (poison) located inside a bacterial cell.
Эндемия,"белгілі бір жұқпалы аурудың жиілігі, белгілі бір аймаққа немесе халық тобына тән және табиғи немесе әлеуметтік жағдайларға байланысты.",Эндемия,"заболеваемость определенной инфекционной болезнью, характерная для данной местности или для группы населения и связанная с природными или социальными условиями.",Endemic,"the incidence of a certain infectious disease, characteristic of a given locality or population group and associated with natural or social conditions."
Эмоциялар,"адамның субъективті боялған тәжірибесі түріндегі реакция, ол үшін әсер ететін ынталандырудың немесе өз әрекетінің нәтижесінің маңыздылығын көрсетеді.",Эмоции,"реакция в виде субъективно окрашенного переживания индивида, отражающая значимость для него воздействующего раздражителя или результата собственного действия.",Emotions,"a reaction in the form of a subjectively colored experience of an individual, reflecting the significance for him of the influencing stimulus or the result of his own action."
Электролиттер,"қандағы, тіндердегі, сұйықтықтардағы және дене жасушаларындағы натрий, калий және хлор тұздарының электрлік зарядталған ерітінділері.",Электролиты,"электрически заряженные растворы солей натрия, калия и хлора в крови, тканях, жидкостях и клетках тела.",Electrolytes,"electrically charged solutions of sodium, potassium and chlorine salts in the blood, tissues, fluids and cells of the body."
Эксгибиционизм,"қарама-қарсы жыныстағы адамдардың қатысуымен жыныс мүшелерін ашуға тарту. Жыныстық тәжірибенің өткірлігі неғұрлым жоғары болса, кенеттен пайда болған ер адамның жыныстық мүшесін көрсететін әйелдің қорқынышы соғұрлым жоғары болады. Қорқыныштың болмауы, елемеу, әдетте, экспозицияның көңілін қалдыруға және оның қашып кетуіне әкеледі.",Эксгибиционизм,"влечение к обнажению половых органов в присутствии лиц противоположного пола. Острота сексуальных переживаний тем выше, чем больше испуг женщины перед внезапно появившимся мужчиной, демонстрирующим эрегированный половой член. Отсутствие испуга, игнорирование, как правило, ведет к разочарованию эксгибициониста и его бегству.",Exhibitionism,"attraction to the exposure of the genitals in the presence of persons of the opposite sex. The acuteness of sexual experiences is the higher, the greater the woman's fright in front of a man who suddenly appeared, showing an erect penis. The absence of fright, ignoring, as a rule, leads to the disappointment of the exhibitionist and his flight."
Экссудат,"ақуызға бай сұйықтық, құрамында қанның формалы элементтері бар, ұсақ тамырлардан қоршаған тіндерге шығады.",Экссудат,"богатая белком жидкость, содержащая форменные элементы крови, выходящая из мелких сосудов в окружающие ткани.",Exudate,a protein-rich liquid containing shaped elements of blood coming out of small vessels into surrounding tissues.
Экзотоксин,бактерия жасушасы қоршаған ортаға шығаратын токсин.,Экзотоксин,"токсин, выделяемый бактериальной клеткой в окружающую среду.",Exotoxin,a toxin released by a bacterial cell into the environment.
Экзема,қайталанатын нейроаллергиялық дерматоз полиморфты қышыма бөртпемен көрінеді.,Экзема,"рецидивирующий нейроаллергический дерматоз, проявляется полиморфной зудящей сыпью.",Eczema,"recurrent neuroallergic dermatosis, manifested by polymorphic itchy rash."
Эйфория,оның жағдайын сыни бағалаудың жеткіліксіздігімен үйлесетін жоғары парасатты көңіл-күй.,Эйфория,"повышенное благоразумное настроение, сочетающееся с недостаточной критической оценкой своего состояния.",Euphoria,"increased prudent mood, combined with insufficient critical assessment of his condition."
Эзофагит,"өңештің қабынуы: симптомдарға күйдіргі, ащы немесе қышқыл кекіру, ауырсыну немесе жұтылу қиындықтары жатады.",Эзофагит,"воспаление пищевода: к симптомам относится изжога, отрыжка горьким или кислым, боль или трудность при глотании.",Esophagitis,"inflammation of the esophagus: symptoms include heartburn, belching bitter or sour, pain or difficulty swallowing."
Штамм,осы көзден оқшауланған белгілі бір түрдегі микроорганизмдердің мәдениеті оны сол түрдің басқа дақылдарынан ерекшелейтін кейбір белгілермен сипатталады.,Штамм,"культура микроорганизмов определенного вида, выделенная из данного источника, характеризуется некоторыми признаками, отличающими ее от других культур того же вида.",Strain,the culture of microorganisms of a certain species isolated from this source is characterized by some features that distinguish it from other cultures of the same species.
Шок,ағзаның төтенше тітіркендіргіштердің әсеріне өзіндік реакциясы нәтижесінде пайда болатын өмірге қауіп төндіретін симптомдар кешені.,Шок,"угрожающий жизни симптомокомплекс, возникающий в результате своеобразной реакции организма на воздействие чрезвычайных раздражителей.",Shock,a life-threatening symptom complex that occurs as a result of a peculiar reaction of the body to the effects of extreme stimuli.
Цирроз,"паренхималық органда талшықты тіндердің көбеюі, оның құрылымын қайта құрумен және өз функцияларын орындай алмауымен бірге жүреді (мысалы, бауыр циррозы).",Цирроз,"разрастание фиброзной ткани в паренхиматозном органе, сопровождающееся перестройкой его структуры и неспособностью выполнять свои функции (например, цирроз печени).",Cirrhosis,"the proliferation of fibrous tissue in the parenchymal organ, accompanied by a restructuring of its structure and inability to perform its functions (for example, cirrhosis of the liver)."
Цитотоксикалық лимфоцит,жасушалық иммундық жүйе жоюға дайындалған бөгде жасушаларды өлтіруге қабілетті лимфоцит.,Цитотоксический лимфоцит,"лимфоцит, способный убивать инородные клетки, подготовленные клеточной иммунной системой к уничтожению.",Cytotoxic lymphocyte,a lymphocyte capable of killing foreign cells prepared by the cellular immune system for destruction.
Цитоплазма,"жасушаны құрайтын барлық зат, оның ядросынан басқа.",Цитоплазма,"все вещество, составляющее клетку, кроме ее ядра.

",Cytoplasm,"all the substance that makes up a cell, except its nucleus."
Цитопения,нормамен салыстырғанда белгілі бір жасушалар санының азаюы (мысалы. қанда).,Цитопения,"уменьшение, по сравнению с нормой, количества определенных клеток (напр. в крови).",Cytopenia,"a decrease, compared to the norm, in the number of certain cells (e.g. in the blood)."
Цитомегаловирус,"герпетикалық отбасы вирусы. CMV инфекциясы ешқандай белгілерсіз болуы мүмкін. АИТВ ауруының дамыған сатысы бар адамдарда ЦМВ белсенді түрге ауысып, соқырлықты, пневмонияны, колитті, жүйке тінінің қабынуын тудыруы мүмкін, тіпті өлімге әкелуі мүмкін. ЦМВ жыныстық қатынас арқылы, жүктілік кезінде анадан балаға, сондай-ақ ластанған қан құю арқылы беріледі. Жүктілік кезінде ЦМВ-ның таралуы АИТВ-инфекциясы болмаған кезде де ұрықтың өліміне немесе нәрестенің ақыл-ой дамуының кешеуілдеуіне әкелуі мүмкін.

",Цитомегаловирус,"вирус семейства герпетических. ЦМВ-инфекция может протекать без каких-либо симптомов. У людей с развернутой стадией ВИЧ-заболевания ЦМВ может переходить в активную форму, вызывая слепоту, пневмонию, колит, воспаление нервной ткани и даже приводить к смерти. ЦМВ передается половым путем, ребенку от матери во время беременности, а также при переливании зараженной крови. Передача ЦМВ во время беременности может даже в отсутствие ВИЧ-инфекции привести к гибели плода или к задержке умственного развития младенца.

",Cytomegalovirus,"a virus of the herpetic family. CMV infection can occur without any symptoms. In people with an advanced stage of HIV disease, CMV can turn into an active form, causing blindness, pneumonia, colitis, inflammation of the nervous tissue and even lead to death. CMV is transmitted sexually, to the child from the mother during pregnancy, as well as through transfusion of infected blood. Transmission of CMV during pregnancy can, even in the absence of HIV infection, lead to fetal death or to a delay in the mental development of the infant."
Цитокиндер,әр түрлі жасушалар шығаратын және басқа жасушаларға химиялық ақпарат таратқыш ретінде қызмет ететін еритін ақуыздар.,Цитокины,"растворимые белки, вырабатываемые различными клетками и служащие химическими передатчиками информации другим клеткам.",Cytokines,soluble proteins produced by various cells and serving as chemical transmitters of information to other cells.
Цереброспинальды сұйықтық,"цереброспинальды сұйықтық, ликер) - құрамында қоректік заттар бар және ми мен жұлын кеңістігінде айналатын мөлдір сұйықтық. Ми мен жұлынды механикалық әсерлерден қорғайды, интракраниальды қысымның тұрақты сақталуын қамтамасыз етеді.",Цереброспинальная жидкость,"спинномозговая жидкость, ликвор) — прозрачная жидкость, содержащая питательные вещества и циркулирующая в пространстве головного и спинного мозге. Предохраняет головной и спинной мозг от механических воздействий, обеспечивает поддержание постоянного внутричерепного давления.",Cerebrospinal fluid,"cerebrospinal fluid (CSF) is a transparent liquid containing nutrients and circulating in the space of the brain and spinal cord. Protects the brain and spinal cord from mechanical influences, ensures the maintenance of constant intracranial pressure."
Жатыр мойны дисплазиясы,адам ағзасындағы микроорганизмдерге немесе ісік жасушаларына селективті әсер ету үшін химиялық заттарды қолдану. Бұл емдеу әдісімен аурудың осы қоздырғышы сезімтал препарат ғана таңдалады және осы қоздырғыштардың қызметін тежеу үшін препараттың қандағы үнемі жоғары концентрациясын сақтайды.,Цервикальная дисплазия,"ненормальное разрастание тканей шейки матки; может привести к развитию рака матки. Чаще, чем обычно, встречается у женщин с ВИЧ-инфекцией, в связи с подавлением иммунной функции. ВИЧ-инфекция также отрицательно влияет на клиническое течение цервикальной дисплазии и цервикального рака.",Cervical dysplasia,"abnormal growth of cervical tissue; may lead to the development of uterine cancer. It is more common than usual in women with HIV infection, due to suppression of immune function. HIV infection also negatively affects the clinical course of cervical dysplasia and cervical cancer."
Химиотерапия,адам ағзасындағы микроорганизмдерге немесе ісік жасушаларына селективті әсер ету үшін химиялық заттарды қолдану. Бұл емдеу әдісімен аурудың осы қоздырғышы сезімтал препарат ғана таңдалады және осы қоздырғыштардың қызметін тежеу үшін препараттың қандағы үнемі жоғары концентрациясын сақтайды.,Химиотерапия,"использование химических препаратов для избирательного воздействия на микроорганизмы, находящиеся в организме человека, или на опухолевые клетки. При этом методе лечения избирают только тот препарат, к которому чувствителен данный возбудитель заболевания, и поддерживают постоянно высокую концентрацию препарата в крови, чтобы подавить деятельность этих возбудителей.",Chemotherapy,"the use of chemicals for selective exposure to microorganisms in the human body, or to tumor cells. With this method of treatment, only the drug to which this pathogen is sensitive is chosen, and a constantly high concentration of the drug in the blood is maintained in order to suppress the activity of these pathogens."
Химиопрофилактика,химиялық препараттардың көмегімен аурулардың алдын алу.,Химиопрофилактика,профилактика заболеваний с помощью химических препаратов.,Chemoprophylaxis,prevention of diseases with the help of chemical preparations.
Хеморецепция,белгілі бір заттардың немесе олардың иондарының концентрациясының өзгеруін қабылдау процесі.,Хеморецепция,процесс восприятия изменений концентрации тех или иных веществ или их ионов.,Chemoreception,the process of perceiving changes in the concentration of certain substances or their ions.
Хеморецепторы,химиялық тітіркендіргіштердің әсерін қабылдайтын рецепторлар.,Хеморецепторы,"рецепторы, воспринимающие воздействия химических раздражителей.",Chemoreceptors,receptors that perceive the effects of chemical stimuli.
Фоскарнет,"АИТВ-инфекциясы бар адамдарда цитомегаловирустық ретинитті емдеуде қолданылатын вирусқа қарсы препарат. Ол сондай-ақ ацикловирмен емделмейтін герпес инфекцияларында қолданылады. Жанама әсерлерге бүйректің уыттылығы, бұлшықеттің жиырылуы, жүрек айнуы және тері жаралары жатады.",Фоскарнет,"противовирусный препарат, применяемый при лечении цитомегаловирусного ретинита у людей с ВИЧ-инфекцией. Также применяется при герпетических инфекциях, не поддающихся лечению ацикловиром. К побочным эффектам относятся почечная токсичность, подергивания мышц, тошнота и кожные язвы.",Foscarnet,"an antiviral drug used in the treatment of cytomegalovirus retinitis in people with HIV infection. It is also used for herpetic infections that cannot be treated with acyclovir. Side effects include renal toxicity, muscle twitching, nausea and skin ulcers."
Фолликулярлық дендритті жасушалар,"лимфоидты органдарда болатын жасушалар. Олардың жіп тәрізді шатырлары бар, олар бөтен денелерді ұстап, оларды иммундық жүйенің басқа жасушаларына жоюға мүмкіндік беретін арахноидты торды құрайды.",Фолликулярные дендритные клетки,"клетки, присутствующие в лимфоидных органах. Имеют нитевидные щупальца, образующие паутинообразную сеть, которая улавливает чужеродные тела и отдает их на уничтожение другим клеткам иммунной системы.",Follicular dendritic cells,cells present in lymphoid organs. They have filamentous tentacles forming a web-like network that catches foreign bodies and gives them to other cells of the immune system for destruction.
Фолликулит,шаш қапшығының қабынуы — фолликула.,Фолликулит,воспаление волосяного мешочка — фолликула.,Folliculitis,inflammation of the hair sac — follicle.
Фолат,"триметоприм сульфаметоксазол және триметрексат сияқты дәрі-дәрмектердің әсері бактерияларды олардың өміріне қажетті фолий қышқылынан ""айыруға"" негізделген, ал адам ағзасында фолий жетіспейді.",Фолат,"соль или эфир фолиевой кислоты, витамина группы В. Действие таких лекарственных препаратов, как триметоприм сульфаметоксазол и триметрексат основано на том, что они «лишают» бактерии необходимой для их жизнедеятельности фолиевой кислоты, при том что организм человека не испытывает дефицита фолатов.",Folate,"the salt or ether of folic acid, a vitamin of group B. The effect of drugs such as trimethoprim sulfamethoxazole and trimetrexate is based on the fact that they ""deprive"" bacteria of folic acid necessary for their vital activity, despite the fact that the human body does not experience folate deficiency."
Фобия,обсессивті қорқыныш.,Фобия,навязчивый страх.,Phobia,obsessive fear.
Флюконазол,"АИТВ-инфекциясы кезінде пайда болатын микоздарды, соның ішінде криптококкозды және басқаларды емдеу үшін қолданылатын саңырауқұлаққа қарсы препарат.",Флюконазол,"противогрибковый препарат, используемый для лечения микозов, возникающих при ВИЧ-инфекции, в том числе , криптококкоза, и других.",Fluconazole,"an antifungal drug used to treat mycoses that occur with HIV infection, including cryptococcosis, and others."
Ферменттік агенттер,дәрілік заттар ферменттер болып табылады.,Ферментные средства,лекарственные средства действующим началом которых являются ферменты.,Enzyme products,medicinal products whose active principle is enzymes.
Ферменттер,"реакцияның соңғы өнімдерінің құрамына кірмей, организмде болатын химиялық реакцияларды едәуір жеделдетуге қабілетті арнайы ақуыздар, яғни бұл биологиялық катализаторлар.",Ферменты,"специфические белки способные значительно ускорять химические реакции, протекающие в организме, не входя при этом, в состав конечных продуктов реакции, т. е. является биологическими катализаторами.",Enzymes,"specific proteins capable of significantly accelerating chemical reactions occurring in the body, without being part of the final products of the reaction, i.e. they are biological catalysts."
Фармакомания,науқастың әртүрлі дәрі-дәрмектерді қолдануға немесе қаражатты негізсіз ұзақ қабылдауға деген ұмтылысы.,Фармакомания,стремление больного к употреблению различных лекарственных средств или необоснованного продолжительного приема средств.,Pharmacomania,the desire of the patient to use various medicines or unjustified prolonged intake of funds.
Фармакокинетика,"ағзаның дәрі-дәрмектерді сіңіру процесін, әсіресе олардың сіңу сипаты мен уақытын, әсерін, ағзаға жиналуын (жиналуын) және бөлінуін зерттеу.",Фармакокинетика,"изучение процесса усвоения организмом лекарственных препаратов, в особенности характер и время их всасывания, действия, депонирования (накопления) в организме и выделения.",Pharmacokinetics,"the study of the process of assimilation of drugs by the body, especially the nature and time of their absorption, action, deposition (accumulation) in the body and excretion."
Жатыр түтіктері,"әйелдің ұрпақты болу жүйесінің бір бөлігі, жатырды іш қуысымен байланыстыратын жұптасқан орган. Әрбір жатыр түтігі жұмыртқаны жатырға апаратын және сперматозоидты жұмыртқаға қарай жылжытатын жол ретінде қызмет етеді. Жатыр түтіктерінің бітелуі немесе дұрыс жұмыс істемеуі бедеулікке әкеледі.",Фаллопиевы трубы,"часть репродуктивной системы женщины, парный орган, соединяющий матку с брюшной полостью. Каждая фаллопиева труба служит проходом, по которому яйцеклетка переносится в матку, и по которому сперматозоид движется к яйцеклетке. Непроходимость или нарушение функции фаллопиевых труб приводит к бесплодию.",Fallopian tubes,"part of a woman's reproductive system, a paired organ connecting the uterus to the abdominal cavity. Each fallopian tube serves as a passage through which the egg is transferred to the uterus, and through which the sperm moves to the egg. Obstruction or dysfunction of the fallopian tubes leads to infertility."
Фагоцитоз,"ақ қан жасушаларының бөтен материалды сіңіруі және жоюы — мысалы., макрофагтар.",Фагоцитоз,"поглощение и уничтожение чужеродного материала белыми клетками крови — напр., макрофагами.",Phagocytosis,"absorption and destruction of foreign material by white blood cells, e.g. macrophages."
Шартты патогендік микроорганизмдер,"макроорганизмнің (адамның) табиғи төзімділігі мен иммунитеті төмендеген кезде организмде аз мөлшерде болатын микробтар қарқынды көбейіп, ауру тудыруы мүмкін.",Условно-патогенные микроорганизмы,"микробы, способные в минимальных количествах присутствовать в организме, интенсивно размножаться и вызывать заболевания при снижении естественной устойчивости и иммунитета макроорганизма (человека).",Conditionally pathogenic microorganisms,"microbes that can be present in minimal quantities in the body, multiply intensively and cause diseases with a decrease in the natural stability and immunity of the macroorganism (human)."
Туберкулез,"туберкулез микобактериялары тудыратын жұқпалы ауру. Көбінесе туберкулез тыныс алу органдарына әсер етеді, бірақ несеп-жыныс жүйесіне, көзге, перифериялық лимфа түйіндеріне, сүйектер мен буындарға, теріге әсер ететін басқа органдар мен жүйелердің (өкпеден тыс) туберкулезі бар. Инфекция, әдетте, ауа тамшылары арқылы жүреді — жөтелгенде, түшкіргенде, сөйлескенде және т.б. жұқтырған адам шығаратын сілекейдің немесе қақырықтың микроскопиялық тамшыларын ингаляциялау арқылы. Емдеу кезінде изониазид, рифампицин препараттары қолданылады.",Туберкулез,"инфекционное заболевание, вызываемое микобактериями туберкулеза. Чаще всего туберкулез поражает органы дыхания, но встречается туберкулез других органов и систем (внелегочный), поражающий мочеполовую систему, глаза, периферические лимфоузлы, кости и суставы, кожные покровы. Заражение, как правило, происходит воздушно-капельным путем — при вдыхании микроскопических капель слюны или мокроты, выделяемых зараженным человеком при кашле, чихании, разговоре и т. п. Основной метод диагностики — внутрикожная проба Манту. При лечении используются препараты — изониазид, рифампицин.",Tuberculosis,"an infectious disease caused by mycobacterium tuberculosis. Tuberculosis most often affects the respiratory organs, but tuberculosis of other organs and systems (extrapulmonary) occurs, affecting the genitourinary system, eyes, peripheral lymph nodes, bones and joints, skin. Infection, as a rule, occurs by airborne droplets - by inhaling microscopic drops of saliva or sputum released by an infected person when coughing, sneezing, talking, etc. The main diagnostic method is an intradermal Mantoux test. Drugs are used in the treatment — isoniazid, rifampicin."
Тромбоцитопения,тромбоциттер санының қалыптан тыс төмен болуы — ұюға ықпал ететін қан жасушалары. Тромбоцитопенияның нәтижесі қауіпті қан кету немесе қан кету болуы мүмкін. Бұл көбінесе иммундық жүйе ауруларының симптомы.,Тромбоцитопения,"ненормально низкое число тромбоцитов — клеток крови, способствующих свертыванию. Результатом тромбоцитопении могут быть опасные кровотечения или кровоизлияния. Часто является симптомом заболеваний иммунной системы.",Thrombocytopenia,abnormally low number of platelets — blood cells that promote clotting. The result of thrombocytopenia can be dangerous bleeding or hemorrhage. It is often a symptom of diseases of the immune system.
Тромбоцитоз,"тромбоциттер санының көбеюі-қан кетуден, хирургиялық араласудан, кейбір аурулардан кейін пайда болады. Тромбоздың пайда болуына ықпал етуі мүмкін.",Тромбоцитоз,"увеличение числа тромбоцитов — появляется после кровотечений, оперативных вмешательств, некоторых заболеваний. Может способствовать возникновению тромбозов.",Thrombocytosis,"an increase in the number of platelets — appears after bleeding, surgical interventions, some diseases. May contribute to the occurrence of thrombosis."
Мазасыздық,кез-келген жағымсыз оқиғаны күтудің әсері.,Тревога,эффект ожидания какого-либо неприятного события.,Anxiety,the effect of waiting for some unpleasant event.
